Id	Label	type	date
Alvar Gómez de Ciudad Real	Alvar Gómez de Ciudad Real	authority	
Miguel de Cervantes	Miguel de Cervantes	authority	
Apuleyo	Apuleyo	authority	
Marco Antonio Mureto	Marco Antonio Mureto	authority	
San Cipriano	San Cipriano	authority	
Cornelio Tácito	Cornelio Tácito	authority	
Plinio el Mayor	Plinio el Mayor	authority	
Antonio de Nebrija	Antonio de Nebrija	authority	
Macrobio	Macrobio	authority	
Ariphades	Ariphades	authority	
los comentadores de	los comentadores de	polemista	
Bartolomé Leonardo de Argensola	Bartolomé Leonardo de Argensola	authority	
Gracián	Gracián	authority	
Turnebio	Turnebio	authority	
Ascensio	Ascensio	authority	
San Juan Crisóstomo	San Juan Crisóstomo	authority	
Lelio Tifernate	Lelio Tifernate	authority	
Tales	Tales	authority	
Luis de Molina	Luis de Molina	authority	
Lucano	Lucano	authority	
Filipo Beroaldo	Filipo Beroaldo	authority	
Píndaro	Píndaro	authority	
Plauto	Plauto	authority	
Menandro	Menandro	authority	
Mahoma	Mahoma	authority	
José Pellicer de Ossau y Tovar	José Pellicer de Ossau y Tovar	polemista	
Donato	Donato	authority	
Ronsard	Ronsard	authority	
Teócrito	Teócrito	authority	
Salustio	Salustio	authority	
Corte Real	Corte Real	authority	
Valdivieso	Valdivieso	authority	
Boyardo	Boyardo	authority	
Montemayor	Montemayor	authority	
Marino	Marino	authority	
Lope de Vega	Lope de Vega	authority	
Antonio Verderio	Antonio Verderio	authority	
Pedro Aretino	Pedro Aretino	authority	
Ezequiel, profeta	Ezequiel, profeta	authority	
San Mateo	San Mateo	authority	
Vicuña	Vicuña	polemista	
Estacio	Estacio	authority	
Nicolás de Albiz	Nicolás de Albiz	polemista	
Cristóbal de Salazar Mardones	Cristóbal de Salazar Mardones	polemista	
OC255	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	ref	1612
OC264C	Éntrase el mar por un arroyo breve [Soledad Segunda]	ref	1614
OC264A	Pasos de un peregrino son, errante [Dedicatoria Soledades]	ref	1613
OC313	Si arrebatado merecí algún día	ref	1617
OC264B	Era del año la estación florida [Soledad Primera]	ref	1613
OC317	La ciudad de Babilonia,	ref	1618
OC154	Del león, que en la Silva apenas cabe	ref	1604
OC31	Verdes hermanas del audaz mozuelo	ref	1583
OC319	Esta de flores, cuando no divina,	ref	1619
OC287	No entre las flores, no, señor don Diego,	ref	1615
OC463	Patos de la aguachirle castellana,	ref	ant. a 1622
OC26	Que se nos va la pascua, mozas	ref	1582
OC80	Famosos son, en las armas	ref	1590
OC389	Menos solicitó veloz saeta	ref	1623
OC311	En vez de las Helíades, ahora	ref	1617
OC315	Caballo que despediste,	ref	1617
OC324	Guerra me hacen dos cuidados	ref	1619
OC383	«Ave del plumaje negro,	ref	1622
OC145	Sobre trastes de guijas	ref	1603
OC18	Cual parece al romper de la mañana	ref	1582
OC33	Cuál del Ganges marfil, o cuál de Paro	ref	1583
OC61	Levantando blanca espuma	ref	1586
OC82	Dejad los libros ahora	ref	1590
OC147	De un monte en los senos, donde	ref	1603
OC160	A un tiempo dejaba el sol	ref	1605
OC202	Mal haya el que en señores idolatra	ref	1609
OC219	Pálida restituye a su elemento	ref	1610
OC249	Cloris, el más bello grano	ref	1611
OC350	Por las faldas del Atlante,	ref	1620
OC372	Guarda corderos, zagala,	ref	1621
OC375	Al tronco descansaba de una encina	ref	1622
OC279	Al campo salió, el estío,	ref	1614
OC351	En la fuerza de Almería	ref	1620
OC360	Aljófares risueños de Albïela:	ref	1621
OC223	En roscas de cristal serpiente breve	ref	1610
OC41	La dulce boca que a gustar convida	ref	1584
